計算,名稱,"位置 X","位置 Y",內容,"文字位置 X","文字位置 Y","中心 X","中心 Y","開始 X","開始 Y","終結 X","終結 Y"
1,圓,,,,,,-267669.7651,-203350.491,,,,
1,圓,,,,,,-267669.7651,-203680.491,,,,
1,圓,,,,,,-267409.7651,-203350.491,,,,
1,圓,,,,,,-267409.7651,-203680.491,,,,
1,HH3,-267409.7651,-204280.491,,,,,,,,,
1,HH3,-267669.7651,-204280.491,,,,,,,,,
1,HH3,-267409.7651,-203680.491,,,,,,,,,
1,HH3,-267669.7651,-203680.491,,,,,,,,,
1,HH3,-267409.7651,-203350.491,,,,,,,,,
1,HH3,-267669.7651,-203350.491,,,,,,,,,
1,多行文字,-268169.467,-204166.8957,148,,,,,,,,
1,多行文字,-268169.467,-203566.8957,125,,,,,,,,
1,多行文字,-268169.467,-203236.8957,102,,,,,,,,
1,圓,,,,,,-268269.7651,-203350.491,,,,
1,圓,,,,,,-268269.7651,-203680.491,,,,
1,HH3,-268269.7651,-204280.491,,,,,,,,,
1,HH3,-268269.7651,-203680.491,,,,,,,,,
1,HH3,-268269.7651,-203350.491,,,,,,,,,
1,多行文字,-268899.467,-202766.8957,77,,,,,,,,
1,多行文字,-268899.467,-202166.8957,43,,,,,,,,
1,多行文字,-269369.467,-202766.8957,76,,,,,,,,
1,多行文字,-269369.467,-202166.8957,42,,,,,,,,
1,圓,,,,,,-268569.7651,-202880.491,,,,
1,圓,,,,,,-268569.7651,-202280.491,,,,
1,圓,,,,,,-269049.7651,-202880.491,,,,
1,圓,,,,,,-269049.7651,-202280.491,,,,
1,圓,,,,,,-269469.7651,-202880.491,,,,
1,圓,,,,,,-269469.7651,-202280.491,,,,
1,HH3,-268569.7651,-202880.491,,,,,,,,,
1,HH3,-268569.7651,-201630.491,,,,,,,,,
1,HH3,-268569.7651,-202280.491,,,,,,,,,
1,HH3,-269049.7651,-202880.491,,,,,,,,,
1,HH3,-269049.7651,-201630.491,,,,,,,,,
1,HH3,-269049.7651,-202280.491,,,,,,,,,
1,HH3,-269469.7651,-202880.491,,,,,,,,,
1,HH3,-269469.7651,-201630.491,,,,,,,,,
1,HH3,-269469.7651,-202280.491,,,,,,,,,
1,多行文字,-268899.467,-204166.8957,146,,,,,,,,
1,多行文字,-268899.467,-203566.8957,123,,,,,,,,
1,多行文字,-268899.467,-203236.8957,100,,,,,,,,
1,圓,,,,,,-269049.7651,-203350.491,,,,
1,圓,,,,,,-269049.7651,-203680.491,,,,
1,圓,,,,,,-268569.7651,-203350.491,,,,
1,圓,,,,,,-268569.7651,-203680.491,,,,
1,HH3,-268569.7651,-204280.491,,,,,,,,,
1,HH3,-269049.7651,-204280.491,,,,,,,,,
1,HH3,-268569.7651,-203680.491,,,,,,,,,
1,HH3,-269049.7651,-203680.491,,,,,,,,,
1,HH3,-268569.7651,-203350.491,,,,,,,,,
1,HH3,-269049.7651,-203350.491,,,,,,,,,
1,多行文字,-269369.467,-204166.8957,145,,,,,,,,
1,多行文字,-269369.467,-203566.8957,122,,,,,,,,
1,多行文字,-269369.467,-203236.8957,99,,,,,,,,
1,圓,,,,,,-269469.7651,-203350.491,,,,
1,圓,,,,,,-269469.7651,-203680.491,,,,
1,HH3,-269469.7651,-204280.491,,,,,,,,,
1,HH3,-269469.7651,-203680.491,,,,,,,,,
1,HH3,-269469.7651,-203350.491,,,,,,,,,
1,多行文字,-268469.467,-204166.8957,147,,,,,,,,
1,多行文字,-268469.467,-203566.8957,124,,,,,,,,
1,多行文字,-268469.467,-203236.8957,101,,,,,,,,
1,多行文字,-268469.467,-202766.8957,78,,,,,,,,
1,多行文字,-268469.467,-202166.8957,44,,,,,,,,
1,多行文字,-267689.467,-205446.8957,207,,,,,,,,
1,多行文字,-268169.467,-205446.8957,206,,,,,,,,
1,多行文字,-268169.467,-204846.8957,185,,,,,,,,
